PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;16;12;28079016_12_8;2024;12;05;152;V;122;V;103;V;65;V;21;V;22;V;34;V;88;V;101;V;128;V;63;V;67;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;16;14;28079016_14_6;2024;12;05;1;V;1;V;1;V;1;V;17;V;17;V;8;V;1;V;1;V;4;V;12;V;18;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;17;7;28079017_7_8;2024;12;05;85;V;71;V;35;V;27;V;30;V;38;V;46;V;65;V;116;V;167;N;72;N;49;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;17;8;28079017_8_8;2024;12;05;61;V;58;V;61;V;54;V;51;V;50;V;52;V;56;V;61;V;73;N;70;N;56;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;17;12;28079017_12_8;2024;12;05;191;V;167;V;116;V;95;V;97;V;108;V;123;V;156;V;238;V;329;N;181;N;132;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;17;14;28079017_14_6;2024;12;05;8;V;8;V;9;V;9;V;9;V;9;V;9;V;8;V;9;V;8;V;3;N;10;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;18;7;28079018_7_8;2024;12;05;63;V;24;V;13;V;34;V;25;V;14;V;4;V;31;V;85;V;59;V;53;V;90;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;18;8;28079018_8_8;2024;12;05;62;V;49;V;45;V;60;V;48;V;45;V;39;V;55;V;61;V;48;V;54;V;74;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;18;10;28079018_10_47;2024;12;05;24;V;18;V;15;V;13;V;20;V;20;V;13;V;19;V;26;V;36;V;28;V;45;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;18;12;28079018_12_8;2024;12;05;159;V;87;V;65;V;111;V;86;V;66;V;46;V;103;V;192;V;138;V;135;V;211;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;18;14;28079018_14_6;2024;12;05;2;V;2;V;4;V;2;V;2;V;3;V;5;V;2;V;2;V;4;V;8;V;9;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;18;20;28079018_20_59;2024;12;05;4.7;V;4.6;V;2.4;V;2.4;V;3.1;V;2.8;V;2.2;V;2.1;V;3.9;V;5.2;V;3.6;V;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;18;30;28079018_30_59;2024;12;05;1.3;V;1.1;V;0.7;V;0.6;V;0.7;V;0.7;V;0.5;V;0.5;V;0.9;V;1.1;V;0.9;V;1.2;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;18;35;28079018_35_59;2024;12;05;0.1;V;0.4;V;0.2;V;0.1;V;0.3;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;24;7;28079024_7_8;2024;12;05;6;V;10;V;5;V;24;V;17;V;5;V;1;V;2;V;12;V;27;V;20;V;57;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;24;8;28079024_8_8;2024;12;05;49;V;36;V;29;V;50;V;39;V;30;V;25;V;28;V;41;V;30;V;29;V;56;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;24;9;28079024_9_47;2024;12;05;5;V;11;V;5;V;7;V;8;V;10;V;7;V;10;V;10;V;6;V;2;V;7;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;24;10;28079024_10_47;2024;12;05;9;V;17;V;9;V;12;V;14;V;15;V;10;V;13;V;14;V;12;V;7;V;17;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;24;12;28079024_12_8;2024;12;05;58;V;52;V;37;V;87;V;66;V;38;V;27;V;31;V;60;V;71;V;59;V;143;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;24;14;28079024_14_6;2024;12;05;6;V;3;V;5;V;2;V;2;V;9;V;12;V;10;V;5;V;8;V;17;V;16;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;27;7;28079027_7_8;2024;12;05;66;V;49;V;33;V;1;V;2;V;6;V;28;V;42;V;45;V;64;V;49;V;34;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;27;8;28079027_8_8;2024;12;05;69;V;54;V;42;V;26;V;32;V;39;V;46;V;55;V;51;V;57;V;62;V;54;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;27;12;28079027_12_8;2024;12;05;171;V;129;V;93;V;28;V;36;V;48;V;89;V;119;V;119;V;156;V;137;V;107;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;27;14;28079027_14_6;2024;12;05;1;V;1;V;3;V;14;V;9;V;3;V;4;V;1;V;1;V;4;V;8;V;16;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;35;1;28079035_1_38;2024;12;05;5;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;35;6;28079035_6_48;2024;12;05;0.8;V;0.7;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.6;V;0.7;V;0.8;V;0.7;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;35;7;28079035_7_8;2024;12;05;85;V;44;V;34;V;10;V;8;V;4;V;11;V;9;V;81;V;95;V;84;V;89;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;35;8;28079035_8_8;2024;12;05;76;V;62;V;62;V;58;V;44;V;40;V;40;V;51;V;63;V;63;V;66;V;76;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;35;12;28079035_12_8;2024;12;05;207;V;129;V;114;V;74;V;56;V;47;V;56;V;65;V;187;V;209;V;194;V;212;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;35;14;28079035_14_6;2024;12;05;1;V;1;V;1;V;3;V;4;V;6;V;15;V;9;V;1;V;2;V;5;V;9;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;36;1;28079036_1_38;2024;12;05;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;36;7;28079036_7_8;2024;12;05;88;V;86;V;30;V;19;V;3;V;1;V;3;V;31;V;94;V;96;V;43;V;31;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;36;8;28079036_8_8;2024;12;05;81;V;73;V;61;V;51;V;45;V;30;V;35;V;54;V;64;V;65;V;54;V;47;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;36;10;28079036_10_47;2024;12;05;34;V;35;V;26;V;19;V;14;V;16;V;10;V;14;V;23;V;36;V;31;V;22;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;36;12;28079036_12_8;2024;12;05;215;V;205;V;106;V;80;V;49;V;31;V;40;V;102;V;209;V;212;V;120;V;94;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;7;28079038_7_8;2024;12;05;24;V;15;V;15;V;7;V;1;V;3;V;4;V;17;V;77;V;46;V;74;V;100;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;8;28079038_8_8;2024;12;05;67;V;61;V;66;V;50;V;36;V;35;V;30;V;44;V;60;V;51;V;59;V;71;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;9;28079038_9_47;2024;12;05;12;V;9;V;8;V;6;V;5;V;6;V;8;V;6;V;11;V;13;V;13;V;20;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;10;28079038_10_47;2024;12;05;19;V;15;V;10;V;12;V;10;V;14;V;13;V;9;V;19;V;24;V;26;V;36;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;12;28079038_12_8;2024;12;05;104;V;84;V;89;V;61;V;37;V;39;V;36;V;70;V;178;V;121;V;173;V;224;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;20;28079038_20_59;2024;12;05;10.7;V;6.7;V;7.7;V;5.6;V;3.8;V;2.9;V;3.5;V;3.3;V;7.1;V;8.3;V;11.2;V;14.1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;30;28079038_30_59;2024;12;05;1.5;V;0.9;V;1;V;0.7;V;0.5;V;0.4;V;0.5;V;0.6;V;1.4;V;1.4;V;1.5;V;2;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;35;28079038_35_59;2024;12;05;1.5;V;0.9;V;1;V;1;V;0.6;V;0.4;V;0.5;V;0.5;V;1.1;V;1.3;V;1.7;V;2.2;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;39;7;28079039_7_8;2024;12;05;26;V;22;V;6;V;2;V;1;V;2;V;1;V;6;V;75;V;87;V;73;V;85;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;39;8;28079039_8_8;2024;12;05;51;V;50;V;53;V;48;V;29;V;31;V;28;V;43;V;59;V;62;V;65;V;67;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;39;12;28079039_12_8;2024;12;05;91;V;84;V;63;V;51;V;31;V;34;V;30;V;53;V;175;V;195;V;176;V;197;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;39;14;28079039_14_6;2024;12;05;8;V;1;V;9;V;8;V;20;V;15;V;22;V;13;V;1;V;3;V;5;V;8;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;40;7;28079040_7_8;2024;12;05;142;V;143;V;40;V;7;V;4;V;4;V;4;V;26;V;58;V;90;V;59;V;41;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
