Date, Open, High, Low, Close
04/08/24, 38916.42, 39013.20, 38857.70, 38892.80
04/05/24, 38664.98, 39040.17, 38602.18, 38904.04
04/04/24, 39343.60, 39421.35, 38559.42, 38596.98
04/03/24, 39139.59, 39305.76, 39017.13, 39127.14
04/02/24, 39256.27, 39256.27, 39051.70, 39170.24
04/01/24, 39807.93, 39815.00, 39491.22, 39566.85
03/28/24, 39763.74, 39868.59, 39717.25, 39807.37
03/27/24, 39461.98, 39769.41, 39461.98, 39760.08
03/26/24, 39338.32, 39439.44, 39277.19, 39282.33
03/25/24, 39410.54, 39430.17, 39296.03, 39313.64
03/22/24, 39774.06, 39824.76, 39469.53, 39475.90
03/21/24, 39661.03, 39889.05, 39589.23, 39781.37
03/20/24, 39072.05, 39529.13, 38988.65, 39512.13
03/19/24, 38819.61, 39122.71, 38761.28, 39110.76
03/18/24, 38826.93, 38898.41, 38760.79, 38790.43
03/15/24, 38809.65, 38928.13, 38618.20, 38714.77
03/14/24, 39122.39, 39160.25, 38704.36, 38905.66
03/13/24, 39054.58, 39201.94, 38937.92, 39043.32
03/12/24, 38883.32, 39071.56, 38711.39, 39005.49
03/11/24, 38667.21, 38794.76, 38483.25, 38769.66
03/08/24, 38776.80, 38971.15, 38705.03, 38722.69
03/07/24, 38784.30, 38910.35, 38730.13, 38791.35
03/06/24, 38721.15, 38858.13, 38570.80, 38661.05
03/05/24, 38906.98, 38906.98, 38457.83, 38585.19
03/04/24, 38968.77, 39087.86, 38913.30, 38989.83
03/01/24, 38989.51, 39120.36, 38850.50, 39087.38
02/29/24, 39013.75, 39074.13, 38809.28, 38996.39
02/28/24, 38938.08, 38956.46, 38741.68, 38949.02
02/27/24, 39087.90, 39087.90, 38881.90, 38972.41
02/26/24, 39144.79, 39245.89, 39025.80, 39069.23
02/23/24, 39127.97, 39282.28, 39094.36, 39131.53
02/22/24, 38845.19, 39149.61, 38802.07, 39069.11
02/21/24, 38483.66, 38618.03, 38338.58, 38612.24
02/20/24, 38576.26, 38663.09, 38460.20, 38563.80
02/16/24, 38751.71, 38825.03, 38583.24, 38627.99
02/15/24, 38397.94, 38781.89, 38397.94, 38773.12
02/14/24, 38372.67, 38442.56, 38194.62, 38424.27
02/13/24, 38699.17, 38699.17, 38039.86, 38272.75
02/12/24, 38656.76, 38927.08, 38628.92, 38797.38
02/09/24, 38731.97, 38734.28, 38567.90, 38671.69
02/08/24, 38702.11, 38755.68, 38544.36, 38726.33
02/07/24, 38613.89, 38748.11, 38571.01, 38677.36
02/06/24, 38392.90, 38545.28, 38350.46, 38521.36
02/05/24, 38546.77, 38633.88, 38220.40, 38380.12
02/02/24, 38448.10, 38783.62, 38336.57, 38654.42
02/01/24, 38175.34, 38522.50, 38106.84, 38519.84
01/31/24, 38426.78, 38588.86, 38139.66, 38150.30
01/30/24, 38298.23, 38497.39, 38257.80, 38467.31
01/29/24, 38115.83, 38343.93, 38061.17, 38333.45
01/26/24, 38006.68, 38215.31, 37997.77, 38109.43
01/25/24, 37862.57, 38057.53, 37796.47, 38049.13
01/24/24, 37975.37, 38064.22, 37795.71, 37806.39
01/23/24, 37959.79, 37980.73, 37804.99, 37905.45
01/22/24, 37919.55, 38109.20, 37911.61, 38001.81
01/19/24, 37572.50, 37933.73, 37451.71, 37863.80
01/18/24, 37300.81, 37522.29, 37122.95, 37468.61
01/17/24, 37281.86, 37371.66, 37132.89, 37266.67
01/16/24, 37493.54, 37543.18, 37201.39, 37361.12
01/12/24, 37818.05, 37825.27, 37470.19, 37592.98
01/11/24, 37747.14, 37801.90, 37424.28, 37711.02
01/10/24, 37552.91, 37740.77, 37524.40, 37695.73
